OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
V RY ORI;RY ORI;05:32:09.97;-02:49:44.1;0104.C-0195(A;2020-02-24;-;B_H;0.55
V V543 ORI;V543 ORI;05:33:39.78;-00:38:56.4;1104.C-0415(G;2020-11-15;Coronography;B_H,P0-90;0.78
BRUN 216;BRUN 216;05:34:14.05;-05:36:54.1;0104.C-0195(A;2020-01-12;Coronography;B_H;0.58
BRUN 216;BRUN 216;05:34:14.05;-05:36:54.1;0104.C-0195(A;2020-01-13;Coronography;B_H;0.44
BRUN 216;BRUN 216;05:34:14.05;-05:36:54.1;0104.C-0195(A;2020-02-17;Coronography;B_H;0.46
V V1044 ORI;V1044 ORI;05:34:16.34;-05:36:44.7;0104.C-0195(A;2020-02-19;-;B_H;0.79
V V1044 ORI;V1044 ORI;05:34:16.34;-05:36:44.7;0104.C-0195(A;2020-03-19;Coronography;B_H;0.69
BRUN 252;BRUN 252;05:34:24.98;-05:22:06.1;0104.C-0195(A;2020-02-22;Coronography;B_H;0.82
V V2149 ORI;V2149 ORI;05:35:05.38;-05:14:50.8;0104.C-0195(A;2020-02-16;-;B_H;0.66
HD 245185;HD 245185;05:35:09.48;+10:01:50.0;0102.C-0656(A;2019-12-15;Coronography;B_H;0.58
HD 36982;HD 36982;05:35:09.48;-05:27:52.6;0102.C-0165(A;2019-01-23;-;N_CNTH;1.08
NY ORI;NY ORI;05:35:36.17;-05:12:26.9;098.C-0422(B);2016-12-17;Coronography;B_H;0.46
HARO 5-73;HARO 5-73;05:35:45.83;-00:57:54.1;1104.C-0415(G;2020-12-18;Coronography;B_H,P0-90;0.58
V T ORI;T ORI;05:35:50.20;-05:28:36.6;0104.C-0619(A;2020-02-15;Coronography;B_J;0.57
CQTAU;V* CQ Tau;05:35:58.25;+24:44:55.4;098.C-0760(B);2017-10-06;Coronography;B_J;0.55
CQTAU;V* CQ Tau;05:35:58.25;+24:44:55.4;098.C-0760(B);2018-02-18;-;B_J;0.66
CQTAU;V* CQ Tau;05:35:58.25;+24:44:55.4;106.21HJ.001;2021-01-01;Coronography;B_KS,P0-90;0.63
V380 ORI;V380 ORI;05:36:25.53;-06:42:56.7;0102.C-0778(A;2018-11-16;Coronography;B_H;0.81
HD 294260;HD 294260;05:36:51.28;-04:25:39.9;0104.C-0195(A;2020-02-18;Coronography;B_H;0.57
HD 294260;HD 294260;05:36:51.28;-04:25:39.9;0104.C-0195(A;2020-03-04;-;B_H;0.56
HD 290770;HD 290770;05:37:02.47;-01:37:21.5;0102.C-0165(A;2019-01-23;-;N_CNTH;1.08
KISO A-0904  60;KISO A-0904  60;05:37:30.01;-00:48:51.9;1104.C-0415(G;2021-02-01;-;B_H,P0-90;0.58
HD 294268;HD 294268;05:38:13.76;-02:15:59.2;1104.C-0415(C;2020-12-04;Coronography;B_H,P0-90;0.57
HD 294268;HD 294268;05:38:13.76;-02:15:59.2;1104.C-0415(G;2021-01-28;Coronography;B_H,P0-90;0.58
V TX ORI;TX ORI;05:38:33.67;-02:44:17.2;1104.C-0415(C;2020-11-13;Coronography;B_H,P0-90;0.41
V V599 ORI;V599 ORI;05:38:58.45;-07:16:45.0;1104.C-0415(G;2021-01-29;Coronography;B_H,P0-90;0.69
V V599 ORI;V599 ORI;05:38:58.45;-07:16:45.0;1104.C-0415(G;2021-02-07;Coronography;B_H,P0-90;0.56
V RV ORI;RV ORI;05:39:40.12;-02:20:47.8;1104.C-0415(G;2021-02-06;Coronography;B_H,P0-90;0.49
HARO 5-34;HARO 5-34;05:39:54.46;-02:46:33.8;1104.C-0415(G;2021-02-05;Coronography;B_H,P0-90;0.52
V V350 ORI;V350 ORI;05:40:11.54;-09:42:10.1;0104.C-0619(A;2020-01-22;Coronography;B_J;0.77
HARO 5-38;HARO 5-38;05:40:12.61;-02:22:00.9;1104.C-0415(G;2020-12-17;Coronography;B_H,P0-90;0.52
HD 38087;HD 38087;05:43:00.42;-02:18:46.1;0102.C-0165(A;2019-01-23;-;N_CNTH;1.08
V V351 ORI;V351 ORI;05:44:18.82;+00:08:42.6;1104.C-0415(G;2021-01-21;Coronography;B_H,P0-90;0.69
FU ORI;FU ORI;05:45:22.30;+09:04:11.5;098.C-0422(B);2016-12-17;Coronography;B_H;0.46
FU ORI;FU ORI;05:45:22.30;+09:04:11.5;0100.C-0408(A;2017-10-13;Coronography;B_H;0.43
FU ORI;FU ORI;05:45:22.30;+09:04:11.5;0100.C-0408(A;2017-10-13;Coronography;B_J;0.43
V V1366 ORI;V1366 ORI;06:17:19.81;-10:43:34.2;60.A-9800(S);2017-12-08;Coronography;B_H;0.57
V V1366 ORI;V1366 ORI;06:17:19.81;-10:43:34.2;60.A-9800(S);2017-12-08;-;B_H;0.57
EM LKHA 215;EM* LkHA  215;06:32:41.86;+10:09:34.4;0102.C-0165(A;2019-01-23;Coronography;B_H;1.08
EM LKHA 215;EM* LkHA  215;06:32:41.86;+10:09:34.4;0102.C-0165(A;2019-01-23;-;N_CNTH;1.08
V700 MON;V700 MON;06:33:05.05;+10:19:26.8;60.A-9371(A);2015-01-29;Coronography;B_H;0.79
V700 MON;V700 MON;06:33:05.05;+10:19:26.8;60.A-9371(A);2015-01-29;Coronography;B_J;0.79
V700 MON;V700 MON;06:33:05.05;+10:19:26.8;60.A-9371(A);2015-01-29;Coronography;B_Y;0.79
