OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
IM LUP;IM LUP;15:56:09.24;-37:56:04.5;096.C-0523(A);2016-03-14;Coronography;B_H;0.95
HD142666;HD142666;15:56:40.10;-22:01:35.9;096.C-0248(C);2016-02-21;Coronography;B_J;1.53
RU LUP;RU LUP;15:56:41.82;-37:49:14.4;096.C-0523(A);2016-03-12;Coronography;B_J;2.17
RU LUP;RU LUP;15:56:41.82;-37:49:14.4;096.C-0523(A);2016-03-13;Coronography;B_H;1.62
HD 142527;HD 142527;15:56:41.82;-42:19:22.2;099.C-0601(A);2017-06-01;Coronography;B_H;0.69
WRAY 15-1388;WRAY 15-1388;15:57:23.86;-42:40:04.8;1104.C-0415(B;2021-04-06;Coronography;B_H,P0-90;0.81
HD143006;HD143006;15:58:36.84;-22:57:13.4;097.C-0902(A);2016-07-01;-;B_J;0.65
HD143006;HD143006;15:58:36.84;-22:57:13.4;097.C-0902(A);2016-07-01;Coronography;B_J;0.65
HD143006;HD143006;15:58:36.84;-22:57:13.4;0101.C-0464(A;2018-06-06;Coronography;B_H;1.03
WRAY 15-1400;WRAY 15-1400;15:59:16.36;-41:57:09.5;0103.C-0470(A;2021-03-12;Coronography;B_H,P0-90;0.46
RY LUPI;RY LUPI;15:59:28.32;-40:21:52.0;097.C-0523(A);2016-05-27;Coronography;B_H;0.44
MY LUP;MY LUP;16:00:44.29;-41:55:29.6;096.C-0523(A);2016-03-16;Coronography;B_H;0.94
MY LUP;MY LUP;16:00:44.29;-41:55:29.6;096.C-0523(A);2016-03-16;Coronography;B_J;0.94
EX LUP;EX LUP;16:03:05.38;-40:18:24.9;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;097.C-0902(A);2016-07-01;Coronography;B_H;0.65
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-14;Coronography;B_J;0.61
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-15;Coronography;B_J;0.91
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-18;Coronography;B_J;0.59
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-19;Coronography;B_J;0.74
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-22;Coronography;B_J;0.67
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-08-23;Coronography;B_J;0.55
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-09-04;Coronography;B_J;0.91
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-09-05;Coronography;B_J;0.99
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-09-07;Coronography;B_J;0.53
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-09-16;Coronography;B_J;0.99
RX J1604.3-2130A;RX J1604.3-2130A;16:04:21.53;-21:30:30.7;099.C-0341(A);2017-09-17;Coronography;B_J;1.06
HD_144432;HD_144432;16:06:57.85;-27:43:10.0;097.C-0523(A);2016-05-26;Coronography;B_J;0.62
SZ 98;SZ 98;16:08:22.45;-39:04:46.3;098.C-0486(A);2017-03-11;Coronography;B_H;0.49
HR 5999;HR 5999;16:08:34.28;-39:06:18.7;097.C-0702(A);2016-05-12;Coronography;B_J;1.82
RXJ 1608.6-3922;RXJ 1608.6-3922;16:08:36.13;-39:23:02.1;098.C-0486(A);2017-03-12;Coronography;B_H;0.49
SZ 111;SZ 111;16:08:54.66;-39:37:42.9;099.C-0891(B);2017-06-18;Coronography;B_H;0.78
2MASS J16090075-190852;NTTS 160626-1847N;16:09:00.56;-19:08:52.0;098.C-0486(A);2017-03-07;Coronography;B_H;0.56
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(A;2019-08-06;Coronography;B_H;0.41
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(A;2019-08-29;Coronography;B_H;0.72
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(A;2019-08-31;Coronography;B_H;0.94
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(A;2019-09-01;Coronography;B_H;1.05
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(A;2019-09-17;Coronography;B_H;0.65
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(B;2019-09-23;Coronography;B_H;0.62
1RXS J160929.1-210524;1RXS J160929.1-210524;16:09:30.24;-21:04:58.5;0102.C-0916(B;2019-09-24;Coronography;B_H;0.86
AS205;AS205;16:11:31.07;-18:38:24.5;097.C-0702(A);2016-05-12;Coronography;B_H;1.82
AS205;AS205;16:11:31.07;-18:38:24.5;099.C-0685(A);2017-05-19;Coronography;B_H;0.57
V718 SCO;V718 SCO;16:13:11.64;-22:29:07.7;099.C-0891(A);2017-06-29;Coronography;B_J;1.42
VV SCO;VV SCO;16:15:34.55;-22:42:42.7;098.C-0486(A);2017-03-12;Coronography;B_H;0.49
GSC 06214-00210;GSC 06214-00210;16:21:54.49;-20:43:09.5;0102.C-0916(A;2019-02-22;Coronography;B_H;0.76
GSC 06214-00210;GSC 06214-00210;16:21:54.49;-20:43:09.5;0102.C-0916(A;2019-08-06;Coronography;B_H;0.41
GSC 06214-00210;GSC 06214-00210;16:21:54.49;-20:43:09.5;0102.C-0916(A;2019-08-07;Coronography;B_H;0.54
V V935 SCO;V935 SCO;16:22:18.37;-23:21:46.7;1100.C-0481(Q;2018-03-01;Coronography;B_H;0.49
V V935 SCO;V935 SCO;16:22:18.37;-23:21:46.7;1104.C-0415(F;2021-03-19;Coronography;B_H,P0-90;0.51
DOAR 16;DOAR 16;16:25:10.34;-23:19:14.8;098.C-0486(A);2017-03-11;Coronography;B_H;0.49
CD-25 11504;CD-25 11504;16:25:38.54;-26:13:54.9;0101.C-0464(A;2018-06-06;Coronography;B_H;1.03
EM* SR4;EM* SR4;16:25:56.19;-24:20:48.9;098.C-0486(A);2017-03-12;Coronography;B_H;0.49
DOAR 21;DOAR 21;16:26:02.96;-24:23:36.0;098.C-0486(A);2017-03-11;Coronography;B_H;0.49
DOAR 25;DOAR 25;16:26:23.53;-24:43:12.4;098.C-0486(A);2017-03-07;Coronography;B_H;0.56
HARO 1-8;HARO 1-8;16:26:47.50;-23:14:54.1;0103.C-0470(A;2019-09-19;Coronography;B_H;0.76
HARO 1-8;HARO 1-8;16:26:47.50;-23:14:54.1;0103.C-0470(A;2019-09-20;Coronography;B_H;0.76
SR 24;Haro 1-8;16:26:58.33;-24:45:32.9;099.C-0685(A);2017-05-19;Coronography;B_H;0.57
EM SR21;1RXS J162708.1-233915;16:27:10.18;-24:19:13.3;1100.C-0481(Q;2018-03-01;Coronography;B_H;0.49
EM SR21;1RXS J162708.1-233915;16:27:10.18;-24:19:13.3;1100.C-0481(Q;2018-03-01;-;B_J;0.49
EM* SR9;EM* SR9;16:27:40.23;-24:22:05.6;098.C-0486(A);2017-03-11;Coronography;B_H;0.49
DOAR 44;DOAR 44;16:31:33.35;-24:27:36.6;096.C-0523(A);2016-03-14;Coronography;B_J;0.95
DOAR 44;DOAR 44;16:31:33.35;-24:27:36.6;096.C-0523(A);2016-03-16;Coronography;B_H;0.94
DOAR 44;DOAR 44;16:31:33.35;-24:27:36.6;0103.C-0276(A;2019-09-22;Coronography;B_H;0.47
DOAR 44;DOAR 44;16:31:33.35;-24:27:36.6;0103.C-0276(A;2019-09-23;Coronography;B_H;0.62
V V1003 OPH;V1003 OPH;16:34:09.14;-15:48:18.1;1100.C-0481(U;2018-09-10;Coronography;B_H;1.32
V V1003 OPH;V1003 OPH;16:34:09.14;-15:48:18.1;1100.C-0481(U;2018-09-11;Coronography;B_H;0.74
HD 150193;HD 150193;16:40:17.87;-23:53:45.7;097.C-0523(A);2016-05-26;Coronography;B_J;0.62
HD 150193;HD 150193;16:40:17.87;-23:53:45.7;0101.C-0464(A;2018-06-06;-;N_CNTH;1.03
HD 150193;HD 150193;16:40:17.87;-23:53:45.7;0101.C-0383(A;2018-09-02;-;N_CNTH;1.08
HEN 3-1258;HEN 3-1258;16:48:45.53;-14:16:37.5;1100.C-0481(R;2018-06-22;Coronography;B_H;0.78
AS 209;AS 209;16:49:15.19;-14:22:10.2;096.C-0523(A);2016-03-11;Coronography;B_J;1.29
AS 209;AS 209;16:49:15.19;-14:22:10.2;096.C-0523(A);2016-03-11;Coronography;B_KS;1.29
AS 209;AS 209;16:49:15.19;-14:22:10.2;096.C-0523(A);2016-03-15;Coronography;B_H;1.16
AK_SCO;AK_SCO;16:54:44.75;-36:53:19.0;097.C-0523(A);2016-05-27;Coronography;B_H;0.44
HD 160305;HD 160305;17:41:49.20;-50:43:28.2;1100.C-0481(U;2018-09-11;Coronography;B_H;0.74
HD 163296;HD 163296;17:56:21.20;-21:57:23.3;097.C-0523(A);2016-05-26;Coronography;B_H;0.62
HD 163296;HD 163296;17:56:21.20;-21:57:23.3;097.C-0523(A);2016-05-26;Coronography;B_J;0.62
HD 163296;HD 163296;17:56:21.20;-21:57:23.3;105.20HV.001;2021-04-06;Coronography;B_KS,P0-90;0.81
TITAN;[M81] I-633;18:11:53.43;-22:37:25.3;0101.C-0881(A;2018-08-13;-;N_CNTK1;0.59
TITAN;[M81] I-633;18:11:53.43;-22:37:25.3;0101.C-0881(A;2018-08-13;-;N_CO;0.59
TITAN;[M81] I-633;18:11:53.43;-22:37:25.3;0101.C-0881(A;2018-08-13;-;N_HEI;0.59
V4046 SGR;V4046 SGR;18:14:10.33;-32:47:34.7;096.C-0523(A);2016-03-13;Coronography;B_J;1.62
V4046 SGR;V4046 SGR;18:14:10.33;-32:47:34.7;096.C-0523(A);2016-03-14;Coronography;B_H;0.95
GSC 07396-00759;GSC 07396-00759;18:14:22.11;-32:46:10.7;1100.C-0481(R;2018-06-22;Coronography;B_H;0.78
HD169142;HD169142;18:24:29.64;-29:46:49.1;095.C-0273(A);2015-05-03;Coronography;B_J;0.71
HD169142;HD169142;18:24:29.64;-29:46:49.1;095.C-0273(A);2015-05-03;Coronography;B_Y;0.71
HD169142;HD169142;18:24:29.64;-29:46:49.1;60.A-9800(S);2015-07-03;-;B_J;0.96
MWC_297;MWC_297;18:27:39.37;-03:49:52.2;0101.C-0383(A;2018-04-02;-;N_CNTH;2.2
MWC_297;MWC_297;18:27:39.37;-03:49:52.2;0101.C-0383(A;2018-07-28;-;N_CNTH;0.77
RXJ1842.9-3532;RXJ1842.9-3532;18:42:58.01;-35:32:42.1;099.C-0685(A);2017-05-19;Coronography;B_H;0.57
2MASS J18521730-370011;2MASS J18521730-3700119;18:52:17.50;-37:00:12.9;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
HD 176386;HD 176386;19:01:38.90;-36:53:25.4;0101.C-0464(A;2018-06-06;-;N_CNTH;1.03
HD 176386;HD 176386;19:01:38.90;-36:53:25.4;0101.C-0383(A;2018-06-25;-;N_CNTH;0.9
HD 176386;HD 176386;19:01:38.90;-36:53:25.4;0101.C-0383(A;2018-07-23;-;N_CNTH;0.68
TY CRA;TY CRA;19:01:40.83;-36:52:34.4;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
V R CRA;R CRA;19:01:53.72;-36:57:08.7;1100.C-0481(U;2018-09-11;Coronography;B_H;0.74
V R CRA;R CRA;19:01:53.72;-36:57:08.7;1100.C-0481(U;2018-09-11;-;B_H;0.74
HD_179218;HD_179218;19:11:11.24;+15:47:15.7;097.C-0523(A);2016-05-26;Coronography;B_J;0.62
IRC10420;IRC +10420;19:26:48.07;+11:21:16.2;097.D-0516(B);2016-07-21;Coronography;B_H;0.42
IRC10420;IRC +10420;19:26:48.07;+11:21:16.2;097.D-0516(B);2016-07-21;-;N_BRG;0.42
IRC10420;IRC +10420;19:26:48.07;+11:21:16.2;097.D-0516(B);2016-07-21;-;N_CNTJ;0.42
IRC10420;IRC +10420;19:26:48.07;+11:21:16.2;097.D-0516(B);2016-07-21;-;N_CNTK2;0.42
IRC10420;IRC +10420;19:26:48.07;+11:21:16.2;097.D-0516(B);2016-07-21;-;N_PAB;0.42
HD 200391;HD 200391;21:02:26.02;+27:48:26.9;0101.C-0060(A;2018-09-13;Coronography;B_H;0.8
HD 200391;HD 200391;21:02:26.02;+27:48:26.9;0101.C-0060(A;2018-09-13;-;B_H;0.8
V BP PSC;BP PSC;23:22:24.72;-02:13:44.0;0101.C-0341(A;2019-09-17;Coronography;B_H;0.65
